length_url,nb_dots,nb_hyphens,nb_at,domain_age,domain_registration_length,web_traffic,google_index,page_rank,links_in_tags,phish_hints,status
103,3,1,1,134,231,1508317,1,2,45.45454545,0,1
46,4,0,0,7802,517,0,1,5,0.0,0,1
45,2,0,0,7133,902,12,0,7,100.0,0,0
51,3,0,0,1690,137,0,1,2,28.57142857,0,1
38,3,0,0,1588,237,0,1,0,82.85714286,0,1
81,2,0,0,5767,77,0,1,2,100.0,0,1
112,2,10,0,7615,133,2190,0,5,52.63157895,0,0
39,2,0,0,8348,2974,1,0,10,50.0,2,1
99,2,2,0,8348,2974,1,1,10,33.33333333,1,1
45,2,1,0,6989,315,2203390,1,4,100.0,0,0
60,5,1,0,5615,228,0,1,5,0.0,2,1
74,3,0,0,9327,1630,4053,0,5,0.0,0,0
61,3,3,0,3561,92,6010,0,4,100.0,0,0
40,4,0,0,5614,230,0,0,5,0.0,0,1
52,3,0,0,5408,148,0,1,1,0.0,0,1
88,7,1,1,8346,2976,1,1,10,0.0,0,1
74,2,0,0,5877,3253,24587,0,5,83.33333333,0,0
46,2,1,0,2633,288,827,1,7,7.692307692000001,0,0
54,3,0,0,6512,792,1680566,0,4,0.0,0,0
54,1,1,0,-1,0,0,1,0,0.0,1,1
38,2,0,0,7134,901,12,1,7,100.0,0,0
67,2,3,0,9394,102,1294,0,6,59.375,0,0
62,5,1,0,5044,0,0,1,0,0.0,2,1
59,3,0,0,2573,1078,0,1,0,100.0,1,1
57,4,0,0,1246,944,7048,1,4,0.0,0,1
32,1,1,0,2872,50,8400,0,3,63.63636364,0,0
46,2,0,0,4537,212,0,1,1,0.0,0,1
37,2,0,0,7133,902,12,0,7,100.0,0,0
36,2,0,0,7295,374,0,1,5,0.0,0,1
52,2,0,0,973,123,8238037,1,2,0.0,1,1
32,2,0,0,7296,374,0,1,5,0.0,0,1
34,1,0,0,7491,179,63,0,10,50.0,0,0
27,3,0,0,-1,413,479698,0,2,25.0,0,0
92,2,1,0,-1,0,0,1,1,100.0,3,1
102,2,7,0,8442,323,43102,0,5,61.11111111,0,0
32,2,0,0,2277,2470,2426481,0,3,0.0,0,0
29,2,0,0,1800,27,0,0,3,58.33333333,0,0
119,4,1,0,-1,1011,0,1,4,82.35294118,3,1
59,2,0,0,3952,65,3862928,0,4,97.5,1,0
54,2,2,0,4855,258,128132,0,4,0.0,0,0
151,3,1,1,166,201,0,1,0,60.0,0,1
84,3,5,0,4093,654,52436,0,4,58.82352941,0,0
55,3,1,0,-1,0,1080262,1,2,60.0,3,1
18,1,0,0,-1,0,294723,0,2,41.66666667,0,0
39,2,0,0,8516,2808,8,0,10,12.5,0,0
28,2,1,0,7689,347,381695,0,3,100.0,0,0
32,3,1,0,5913,295,86462,0,5,81.81818182,0,0
16,1,0,0,-1,0,2346124,0,2,66.66666667,0,0
23,1,0,0,4141,241,0,1,0,0.0,0,1
29,3,0,0,4664,85,0,0,4,0.0,0,0
29,2,0,0,317,49,0,0,0,100.0,0,1
41,2,0,0,4566,2009,44445,0,5,60.0,0,0
22,1,0,0,-1,0,3523,1,9,27.27272727,0,1
52,3,0,0,657,438,0,1,0,0.0,0,1
38,3,0,0,-1,0,9412550,1,2,0.0,0,1
30,3,0,0,-1,0,0,0,2,9.090909091,0,0
76,4,1,0,3993,25,5707171,1,0,100.0,0,1
430,24,0,1,-1,0,0,1,0,0.0,3,1
37,2,0,0,4823,291,212735,1,4,100.0,0,0
73,3,5,0,11046,277,545,0,6,90.0,0,0
56,2,0,0,2939,347,0,1,0,0.0,0,1
70,1,7,0,3385,2825,12180,1,5,0.0,0,0
70,3,0,0,7802,517,0,1,5,0.0,0,1
52,2,1,0,-1,120,241891,1,5,100.0,0,0
31,2,1,0,5366,113,3913090,0,2,0.0,0,0
90,4,0,0,2112,79,0,1,1,93.33333333,1,1
45,3,0,0,7156,150,2272,0,3,86.66666667,0,0
55,3,0,0,7602,1164,145276,0,4,40.0,0,0
65,3,2,0,135,230,0,1,0,100.0,0,1
41,2,1,0,1546,644,4669,1,2,3.50877193,0,1
71,2,1,0,7,358,0,1,0,6.976744186,0,1
83,2,0,0,8348,2973,1,1,10,0.0,1,1
73,1,1,0,-1,321,0,1,0,100.0,0,1
44,2,2,0,184,182,0,1,0,100.0,0,1
114,4,1,0,2403,154,819233,0,3,100.0,2,1
127,4,1,0,3992,25,5697976,1,0,100.0,0,1
99,4,0,1,254,112,0,0,0,50.0,0,1
56,2,1,0,6041,169,0,1,1,100.0,1,1
51,3,0,0,7284,1847,2788,1,7,0.0,0,0
51,5,0,0,-1,0,0,1,0,100.0,3,1
40,2,1,0,-1,0,1166803,0,3,96.0,0,0
33,3,0,0,5111,0,5692030,1,1,91.89189189,1,1
88,2,5,0,8024,2202,88431,0,5,84.21052632,0,0
122,2,0,0,5993,946,5488,0,7,40.0,0,0
53,3,0,0,2684,237,188662,0,4,20.0,0,0
46,6,1,0,725,0,23941,1,1,100.0,0,1
31,2,0,0,3754,264,3847776,0,4,53.84615385,0,0
48,2,2,0,5381,827,299694,0,5,7.407407407000001,0,0
101,2,0,0,3743,275,0,1,2,45.45454545,1,1
41,3,0,0,5416,62,435027,0,3,0.0,0,0
43,4,0,0,1901,290,0,1,0,0.0,1,1
15,1,0,0,3937,81,0,0,2,0.0,0,0
42,3,3,0,6668,1001,1677903,1,4,100.0,0,0
51,1,3,0,4413,3621,225825,0,5,50.0,0,0
48,3,3,0,3983,361,0,1,0,0.0,0,1
49,1,0,0,7732,304,81846,0,5,100.0,0,0
25,1,1,0,2647,275,0,0,1,100.0,0,1
49,2,2,0,9285,59,121,0,7,78.57142857,0,0
48,3,1,0,8047,353,1577,0,5,89.36170213,0,0
108,4,1,1,531,200,0,1,0,75.0,3,1
39,2,0,0,1028,0,0,1,0,0.0,0,1
80,4,3,0,5334,145,1137149,1,4,83.33333333,0,0
36,2,1,0,7602,69,2368410,1,4,100.0,0,0
28,2,1,0,6460,161,1119897,0,4,34.48275862,0,0
33,2,0,0,1953,2430,4365,1,3,0.0,1,1
23,3,0,0,-1,1156,7600,0,4,55.55555556,0,0
77,2,5,0,5224,984,137,0,8,50.0,0,0
342,5,6,1,-1,0,1554194,1,2,66.66666667,1,1
38,2,1,0,189,177,0,1,2,100.0,0,1
73,2,5,0,6203,7,38365,1,5,44.82758621,2,0
33,2,0,0,5639,204,2,0,10,58.33333333,0,0
67,3,1,0,1785,42,7811868,1,2,0.0,0,1
39,2,0,0,6431,873,15489,1,5,100.0,0,0
24,2,0,0,2254,302,219358,0,4,97.5308642,0,0
26,2,0,0,-1,0,543542,0,3,90.90909091,0,0
39,2,0,0,9253,245,21542,0,6,0.0,0,0
62,3,1,0,5825,18,0,1,0,0.0,0,1
41,2,1,0,1899,292,507771,1,1,83.33333333,2,1
40,2,0,0,7295,374,0,1,5,0.0,0,1
51,3,2,0,4120,262,632334,0,3,100.0,0,0
59,2,3,0,3650,366,7053,1,5,100.0,0,0
50,3,0,0,8044,3483,2580,0,6,0.0,0,0
52,2,1,0,6831,0,0,1,0,81.81818182,0,1
43,2,1,0,3904,114,0,1,0,0.0,0,1
94,3,4,0,4183,278,0,1,3,0.0,0,1
60,4,0,0,2403,519,62284,0,3,100.0,0,0
18,1,0,0,-1,0,1111694,0,2,85.71428571,0,0
204,2,1,0,7968,3353,892,0,7,40.0,1,1
94,7,0,1,8346,2975,1,0,10,0.0,1,1
41,4,1,0,-1,170,0,1,0,87.5,0,1
19,2,0,0,1154,307,0,1,0,100.0,0,1
35,2,1,0,3608,44,0,1,0,0.0,0,1
63,3,0,0,2870,51,0,1,2,0.0,0,1
53,2,0,0,5972,237,0,1,0,0.0,0,1
75,4,3,0,5616,228,0,1,5,0.0,1,1
35,2,0,0,6381,0,0,1,3,0.0,0,1
210,4,1,0,8348,2974,1,0,10,0.0,0,1
44,1,2,0,4825,1384,128305,0,5,100.0,0,0
150,5,0,0,4405,343,0,1,0,0.0,0,1
39,3,1,0,570,161,0,1,2,0.0,0,1
64,2,1,0,3381,0,6240092,1,2,0.0,2,1
106,4,4,0,4681,433,4701900,0,3,0.0,0,1
34,2,0,0,-1,0,5496959,0,0,85.71428571,0,1
65,2,0,0,7133,901,12,0,7,100.0,0,0
60,3,1,0,2290,266,10725245,1,2,0.0,3,1
25,1,0,0,896,200,0,1,0,100.0,0,1
39,2,0,0,6901,1865,11507,0,5,72.22222222,0,0
38,3,1,0,3899,118,207904,0,4,94.73684211,0,0
129,2,1,0,-2,213,9675493,1,0,100.0,0,1
52,2,2,0,9224,342,18386,0,5,92.85714286,0,0
30,3,0,0,-1,0,0,1,0,0.0,0,1
33,2,0,0,7449,586,0,0,8,68.08510638,0,0
118,3,6,0,7287,2184,0,0,4,40.0,0,0
27,1,1,0,2625,0,8571696,0,2,57.14285714,0,0
78,3,0,0,11192,495,1465,0,6,0.0,0,0
35,2,1,0,2839,83,0,1,2,100.0,0,1
32,1,1,0,-1,0,5497323,1,0,98.07692308,0,1
64,5,3,0,5615,228,0,1,5,0.0,2,1
24,3,0,0,4996,1213,179875,0,4,46.66666667,0,0
68,3,0,0,3526,127,24047,0,5,62.5,0,0
41,2,0,0,7130,905,12,0,7,100.0,0,0
48,2,0,0,7134,901,13,0,7,100.0,0,0
29,2,0,0,3904,114,0,0,2,50.0,0,0
24,2,0,0,2980,2864,1168093,0,2,66.66666667,0,0
50,3,0,0,7427,1703,193,0,7,71.42857143,2,0
126,4,1,0,3992,25,5697976,1,0,100.0,0,1
39,2,0,0,8627,263,5781,0,6,76.0,0,0
102,1,1,0,2047,145,0,1,0,85.71428571,3,1
31,2,0,0,2425,496,0,0,2,64.28571429,0,0
86,3,1,0,5826,18,0,1,0,0.0,0,1
78,2,4,0,6068,507,4211,0,4,4.761904762,0,0
29,3,0,0,3477,0,7290834,0,2,20.0,0,0
33,2,0,0,8965,1261,70,0,8,0.0,0,0
27,1,1,0,7,723,0,0,0,0.0,0,1
24,2,0,0,-1,0,373207,0,2,100.0,0,0
39,2,0,0,6096,479,83476,0,4,80.76923077,0,0
28,2,1,0,5903,1767,0,0,4,100.0,0,0
102,3,0,0,5627,217,0,0,5,93.10344828,0,1
43,2,0,0,4153,229,124314,1,4,100.0,0,0
27,2,0,0,4764,349,199026,0,4,50.0,0,0
101,2,9,0,9744,117,962,0,7,45.45454545,0,0
60,3,3,0,3163,124,1323034,0,4,62.5,0,0
38,3,0,0,-1,0,98458,0,4,95.12195122,0,0
19,1,0,0,2088,834,0,1,0,0.0,0,1
137,3,0,0,4162,220,376041,1,5,90.0,0,0
263,14,1,0,-1,299,0,1,0,0.0,1,1
22,1,0,0,-1,0,3536,1,9,10.0,0,1
89,3,0,0,918,178,0,1,0,100.0,4,1
28,2,0,0,5890,683,2487034,0,3,28.57142857,0,0
49,3,0,0,8046,353,1577,0,5,88.88888889,0,0
45,4,2,0,5616,228,0,1,5,0.0,1,1
30,2,0,0,5442,36,0,0,2,24.59016393,0,1
54,2,1,0,3188,99,9820235,1,2,0.0,2,1
29,2,0,0,-1,0,0,0,2,0.0,0,0
86,3,1,1,3977,406,0,1,2,0.0,1,1
26,2,0,0,1,364,0,1,0,0.0,0,1
83,2,0,0,4549,199,146,0,7,0.0,0,0
49,2,1,0,1,363,9657236,1,0,100.0,0,1
33,2,0,0,8969,1257,70,0,8,0.0,0,0
40,2,0,0,9205,293,692,0,6,90.47619048,0,0
56,2,3,0,8697,1994,25617,1,5,83.33333333,0,0
27,2,0,0,3873,145,2192611,0,2,0.0,0,0
70,3,4,0,4821,293,151781,0,3,36.36363636,0,0
128,10,0,0,65,300,0,1,0,0.0,2,1
25,1,0,0,-1,0,0,1,6,0.0,0,1
33,2,0,0,8517,2807,8,0,10,28.57142857,0,0
52,2,1,0,3118,900,258,0,7,0.0,0,0
31,2,0,0,7318,351,19471,0,5,7.692307692000001,0,0
41,2,0,0,7295,374,0,1,5,0.0,0,1
33,2,0,0,6022,187,4222108,0,2,0.0,0,0
32,1,1,0,1,363,0,1,0,0.0,0,1
66,3,1,0,3346,307,0,0,1,75.0,0,0
85,2,7,0,5409,1165,9424,0,6,0.0,1,0
52,2,0,0,7129,906,12,0,7,100.0,0,0
109,3,8,0,4300,448,17917,0,5,75.0,0,0
84,1,6,0,2785,136,456652,0,4,15.0,0,0
110,2,1,0,8346,2976,1,0,10,0.0,2,1
171,2,1,0,1095,730,3898136,1,0,100.0,3,1
17,1,0,0,-1,0,1860135,0,3,75.0,0,0
19,1,0,0,7557,0,3080310,0,2,100.0,0,0
98,4,0,0,-1,0,0,1,0,100.0,1,1
32,2,0,0,2581,340,3704884,1,4,40.0,0,1
28,3,0,0,-1,0,5759582,0,4,89.47368421,0,0
64,3,0,0,7083,952,17964,1,3,0.0,0,1
40,2,0,0,7133,902,12,0,7,100.0,0,0
132,2,1,0,8019,381,0,1,4,7.692307692000001,0,1
124,2,2,0,8019,381,0,1,4,0.0,0,1
51,2,0,0,3747,270,0,1,2,50.0,1,1
141,2,0,0,-1,0,0,1,0,64.28571429,1,1
21,2,0,0,4924,189,0,0,1,50.0,0,0
53,2,0,0,11205,116,173087,1,5,100.0,0,0
27,2,0,0,-1,112,0,0,3,62.5,0,0
76,2,0,0,1379,446,0,1,0,100.0,0,1
79,2,6,0,4133,615,3807718,1,4,85.0,0,0
35,2,0,0,7169,135,3198502,0,2,66.66666667,0,0
56,3,2,0,6842,827,74297,0,5,100.0,0,0
49,3,0,0,7705,1791,549152,1,5,0.0,0,0
41,2,0,0,6769,900,114612,0,5,96.42857143,0,0
84,2,0,0,-1,0,0,1,0,100.0,0,1
29,2,0,0,8309,91,891412,0,5,80.0,0,0
21,2,0,0,-1,0,405272,0,3,97.56097561,0,0
35,3,0,0,5572,271,126063,0,5,100.0,0,0
28,2,2,0,-1,0,642658,0,3,0.0,0,0
97,5,0,1,-1,0,2656129,0,3,100.0,0,1
36,1,0,0,2744,543,0,0,0,0.0,0,1
63,3,2,0,8176,1685,1489770,1,4,100.0,0,0
24,2,0,0,3086,202,2742704,0,2,84.375,0,0
85,2,1,0,4505,607,0,1,0,100.0,5,1
56,5,2,0,5627,217,0,1,5,0.0,0,1
49,2,0,0,393,338,0,1,0,100.0,1,1
23,1,0,0,-2,138,0,1,0,100.0,0,1
64,2,1,0,2232,324,0,1,0,16.66666667,3,1
46,3,1,0,205,525,6985854,1,0,20.0,0,1
36,2,0,0,1880,677,0,1,0,100.0,0,1
29,2,0,0,5904,1766,3369493,0,4,100.0,0,0
55,2,1,0,6831,0,0,1,0,81.81818182,0,1
45,2,0,0,6260,2505,683,0,6,61.53846154,0,0
33,2,0,0,-1,665,1120148,0,4,91.30434783,0,0
231,3,1,0,-1,63,0,1,0,100.0,5,1
30,2,0,0,-1,0,0,1,0,100.0,0,1
31,2,0,0,6749,190,581257,0,4,81.81818182,0,0
27,2,1,0,-1,251,0,0,3,0.0,0,0
58,2,4,0,7913,487,0,0,6,100.0,0,0
28,2,0,0,7296,373,1726750,0,5,11.76470588,0,0
25,2,0,0,2568,354,286071,0,5,83.33333333,0,0
87,5,0,0,1302,159,0,1,0,97.22222222,0,1
28,2,0,0,5230,248,0,1,7,93.75,0,0
133,2,12,0,5956,252,4922,1,6,0.0,0,0
26,3,0,0,-1,0,353666,0,4,50.0,0,0
36,1,0,0,6478,1191,0,1,1,96.77419355,0,1
29,1,0,0,990,106,785858,0,1,50.0,1,1
37,2,1,0,7295,374,0,1,5,0.0,0,1
33,2,0,0,4893,220,1371632,0,4,94.28571429,0,0
47,2,4,0,5886,1418,184,0,6,69.23076923,0,0
26,2,0,0,7753,3205,15139,0,5,0.0,0,0
93,5,1,1,4250,132,0,1,1,100.0,0,1
44,4,0,0,12706,0,3016,0,6,100.0,0,0
34,2,0,0,7308,726,0,1,0,0.0,0,1
63,2,5,0,2190,732,156610,0,4,0.0,0,0
56,5,2,0,5613,230,0,1,5,33.33333333,0,1
28,2,0,0,5614,230,0,1,5,0.0,0,1
51,3,4,0,4478,270,625153,0,5,33.33333333,0,0
50,3,0,0,3141,147,0,1,3,95.91836735,0,1
70,3,1,0,7696,339,54169,0,5,100.0,0,0
41,2,0,0,-1,0,4254948,0,4,50.0,0,0
74,2,4,0,5615,3151,1156,0,5,0.0,0,0
26,2,0,0,8018,17,5075341,0,3,95.0,0,0
114,3,10,0,4093,654,56400,0,4,93.5483871,0,0
49,1,1,0,-1,0,641733,1,2,0.0,3,1
26,2,0,0,-1,0,7358750,0,2,28.57142857,0,0
42,2,1,0,9897,694,183,0,8,0.0,0,0
28,1,0,0,1352,0,7246656,0,2,85.71428571,0,0
29,2,0,0,-1,0,75756,0,5,0.0,0,0
32,2,0,0,-1,230,1316122,1,3,30.0,0,0
34,2,1,0,2706,215,0,1,4,50.0,0,1
51,2,1,0,3934,84,0,1,0,0.0,0,1
78,2,7,0,7596,75,4058,0,6,87.17948718,1,0
43,4,0,0,3429,224,0,1,0,100.0,0,1
154,2,1,0,8018,381,0,1,4,0.0,0,1
35,3,0,0,3345,308,270265,0,3,10.14492754,0,0
54,3,1,0,-1,1964,0,0,2,57.14285714,0,0
35,2,0,0,3047,240,0,0,0,50.0,0,0
25,1,0,0,1549,0,3205318,0,3,0.0,0,0
27,2,0,0,1626,201,0,0,0,66.66666667,0,0
61,4,0,0,-1,0,0,1,0,0.0,1,1
41,2,0,0,4748,0,2421611,1,4,50.0,0,1
47,2,0,0,-1,283,0,1,0,50.0,0,1
19,2,0,0,-1,0,0,0,0,100.0,0,0
38,2,1,0,5098,1476,10819,0,5,100.0,0,0
64,3,3,0,3167,120,3345571,0,2,30.76923077,0,0
271,5,0,0,4096,286,0,1,3,23.52941176,3,1
50,1,0,0,118,0,0,1,0,0.0,2,1
80,3,6,0,7785,616,19148,0,4,81.81818182,0,0
67,2,0,0,219,146,0,1,0,100.0,0,1
282,3,1,0,8018,382,0,1,4,16.66666667,0,1
144,2,2,0,8018,382,0,1,4,0.0,0,1
52,1,1,0,1244,216,0,1,0,90.0,0,1
28,2,0,0,7555,116,184970,0,5,60.0,0,0
50,3,0,0,8045,3482,2595,0,6,0.0,0,0
60,3,1,0,1408,53,4219048,1,0,100.0,0,0
87,2,4,0,5222,986,136,0,8,58.82352941,0,0
35,3,0,0,155,211,0,1,0,100.0,0,1
102,4,0,0,4701,778,0,1,0,0.0,1,1
63,2,0,0,7534,137,204574,0,4,45.45454545,0,0
36,2,1,0,2837,84,0,1,2,0.0,0,1
21,2,0,0,7714,1417,148721,0,4,80.0,0,0
238,3,8,0,9338,158,21,0,5,0.0,1,1
36,4,0,0,-1,0,0,0,0,80.0,0,1
38,2,0,0,6636,1765,225794,0,3,85.71428571,0,0
88,5,2,0,-1,0,0,1,0,100.0,0,1
29,2,0,0,7062,242,1760637,1,1,81.81818182,0,1
27,2,0,0,-1,226,0,1,0,0.0,0,1
101,2,1,0,8346,2976,1,1,10,37.5,0,1
18,2,0,0,-1,1656,4639934,0,2,82.35294118,0,0
27,2,0,0,7006,299,0,0,1,0.0,0,1
28,2,0,0,8349,2973,1,1,10,0.0,0,0
36,1,1,0,2357,200,0,0,2,100.0,2,1
53,2,0,0,7371,299,97473,0,5,84.61538462,0,0
66,3,1,0,5589,2812,0,1,3,100.0,1,1
35,2,0,0,7295,374,0,1,5,0.0,0,1
27,1,0,0,968,127,957082,1,6,0.0,0,1
21,3,0,0,-1,0,0,0,0,100.0,0,1
123,2,15,0,7380,1099,12752,0,6,88.0,0,0
47,4,0,0,6723,582,4971141,1,5,0.0,0,0
59,3,3,0,5280,1294,20776,0,4,100.0,0,0
15,1,0,0,-1,0,0,1,4,0.0,0,1
26,2,0,0,8704,790,2401049,0,3,50.0,0,0
82,5,3,0,5612,231,0,1,5,100.0,0,1
77,2,0,0,6216,358,3181,0,5,100.0,0,0
38,3,0,0,6672,343,0,1,3,72.22222222,1,1
39,2,0,0,7295,374,0,1,5,0.0,0,1
42,2,0,0,7266,404,1103,1,7,0.0,0,0
33,2,0,0,4805,309,141041,0,3,60.86956522,0,0
53,2,3,0,7296,373,0,1,5,0.0,0,1
44,3,1,0,3081,206,1803451,0,2,83.33333333,0,0
23,2,0,0,2101,360,3571542,0,3,50.0,0,0
17,1,0,0,903,193,0,0,2,93.33333333,0,0
26,2,0,0,2063,128,1523869,0,1,0.0,0,0
129,5,1,0,3992,25,5697976,1,0,100.0,0,1
42,2,2,0,808,287,0,1,2,100.0,0,1
52,2,0,0,6673,632,6923,1,5,64.70588235,0,0
27,2,0,0,1846,345,1306556,0,1,50.0,0,0
43,3,0,0,7159,147,2320,0,3,86.66666667,0,0
28,2,1,0,7297,372,283040,0,5,18.18181818,0,0
97,3,1,0,7969,430,90170,1,5,0.0,1,0
28,2,0,0,2634,2479,5403,0,2,0.0,0,1
27,2,0,0,1617,210,9329560,0,1,36.36363636,0,0
35,3,0,0,674,56,0,1,0,66.66666667,0,1
62,2,2,0,8683,82,65933,0,5,13.33333333,0,0
127,4,1,0,4003,15,5816617,1,0,100.0,0,1
29,2,0,0,7359,313,1052987,1,1,0.0,0,1
33,2,0,0,4001,747,31358,1,5,0.0,0,1
72,3,1,0,6344,231,2659943,0,5,100.0,1,0
33,2,0,0,4180,203,1524695,0,2,77.77777778,0,0
40,2,0,0,9202,296,684,0,6,90.47619048,0,0
61,5,2,0,5616,227,0,1,5,0.0,0,1
51,2,0,0,3727,291,0,0,4,11.11111111,0,0
44,1,3,0,9486,3297,400,0,6,25.0,0,0
259,2,1,0,4967,146,0,1,1,50.0,0,1
57,2,0,0,2736,916,0,1,0,64.70588235,0,1
31,2,0,0,1259,202,361430,0,3,82.35294118,0,0
47,3,0,0,-1,0,0,1,0,100.0,0,1
93,3,6,0,2230,326,1407776,0,4,42.85714286,0,0
49,2,1,0,9201,297,684,0,6,90.47619048,0,0
22,2,0,0,-1,0,33537,0,5,76.92307692,0,0
45,2,0,0,-1,-1,1686483,0,5,100.0,0,0
105,2,1,0,8019,381,0,1,4,7.692307692000001,2,1
109,4,0,1,14,351,0,0,0,80.0,1,1
40,2,0,0,4274,108,0,0,2,100.0,0,0
24,1,0,0,-1,0,134401,1,5,59.09090909,1,1
37,2,0,0,852,243,0,1,2,0.0,0,1
152,2,20,0,7422,1343,286,1,7,0.0,0,0
124,5,0,0,3993,25,5707171,1,0,100.0,0,1
35,2,0,0,6951,353,0,1,2,42.85714286,0,1
51,3,1,0,5440,38,0,1,2,0.0,0,0
126,3,4,0,1656,170,2576752,1,0,9.090909091,0,1
49,2,0,0,6256,2509,689,0,6,61.53846154,0,0
46,2,1,0,2879,1869,136805,0,4,66.66666667,0,0
31,2,0,0,8520,2804,8,0,10,14.28571429,0,0
45,2,0,0,8831,505,2695,0,6,89.28571429,0,0
36,2,0,0,7449,586,0,0,8,65.95744681,0,0
56,2,0,0,3232,55,65403,1,4,52.0,0,0
54,2,0,0,6672,633,6935,1,5,64.70588235,0,0
29,2,0,0,1991,200,4019018,0,2,40.0,0,0
70,2,1,0,8348,2974,1,1,10,0.0,0,1
22,3,0,0,-1,0,0,0,0,100.0,0,1
46,2,0,0,5230,248,0,0,7,33.33333333,0,0
53,2,4,0,5883,1421,181,0,6,66.66666667,0,0
105,5,0,0,4097,285,0,1,3,12.5,1,1
64,2,0,0,7685,351,10053,0,5,100.0,0,0
29,2,0,0,3097,190,500444,0,4,87.09677419,0,0
47,3,0,0,7403,497,2112,0,6,100.0,0,0
126,3,4,0,1658,168,2580873,1,0,0.0,0,1
37,2,0,0,7448,587,0,0,8,23.80952381,0,0
42,2,0,0,9247,251,1299,0,6,100.0,0,0
15,1,0,0,1617,0,0,0,0,5.555555556,0,0
44,3,0,0,2595,692,253010,0,4,0.0,0,0
71,3,1,0,8705,60,974180,0,4,0.0,1,0
72,2,0,0,6028,182,0,1,1,81.81818182,0,1
48,3,0,0,8125,3197,6897,1,5,83.33333333,1,0
29,2,1,0,5200,644,0,0,5,58.33333333,0,0
71,2,2,0,6693,247,3855,0,7,56.52173913,0,0
32,2,0,0,7299,370,2384422,0,5,48.27586207,0,0
59,2,0,0,4942,172,0,1,0,0.0,0,1
55,2,1,0,5257,222,30484,1,2,0.0,1,1
26,2,0,0,1341,0,0,0,0,40.0,0,0
32,2,0,0,6036,435,0,1,2,0.0,1,1
34,2,0,0,3876,248,1903447,0,4,75.0,0,0
115,3,11,0,134,231,4970516,1,2,82.35294118,0,0
33,2,0,0,1954,2429,4403,1,3,0.0,0,1
74,3,3,0,8350,49,1309,0,6,75.0,1,0
77,1,0,0,5767,76,0,1,2,100.0,0,1
18,1,0,0,4174,218,0,0,3,80.0,0,0
62,2,1,0,7881,520,436856,0,5,83.33333333,0,0
56,2,3,0,6400,175,92162,1,5,60.0,0,0
53,4,3,0,5627,217,0,1,5,0.0,0,1
